MOTIONS (ORIGIN OF INTERNAL CALCULATING COORDINATE, INTERPOLATE, ONLY RIDIG MODAL)
--------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ                           P1   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
44.497   0.141    -6.494e-015 -1.361e-015  6.635e-015    0.000
38.831   0.162     4.239e-014 -1.434e-015  4.242e-014    0.000
34.445   0.182     6.712e-014 -1.324e-015  6.713e-014    0.000
30.949   0.203     7.769e-014 -1.113e-015  7.770e-014    0.000
28.098   0.224     7.901e-014 -8.565e-016  7.902e-014    0.000
25.727   0.244     7.290e-014 -5.995e-016  7.290e-014    0.000
23.726   0.265     6.061e-014 -3.526e-016  6.061e-014    0.000
22.013   0.285     4.319e-014 -1.078e-016  4.319e-014    0.000
20.531   0.306     2.152e-014  1.502e-016  2.152e-014    0.000
19.236   0.327    -2.048e-015  4.308e-016  2.092e-015    0.000
18.095   0.347    -2.352e-014  7.198e-016  2.353e-014    0.000
17.081   0.368    -4.037e-014  9.902e-016  4.039e-014    0.000
16.175   0.388    -5.123e-014  1.209e-015  5.124e-014    0.000
15.361   0.409    -5.543e-014  1.342e-015  5.545e-014    0.000
14.624   0.430    -5.388e-014  1.365e-015  5.390e-014    0.000
13.955   0.450    -4.847e-014  1.277e-015  4.848e-014    0.000
13.344   0.471    -4.063e-014  1.093e-015  4.064e-014    0.000
12.785   0.491    -3.139e-014  8.358e-016  3.140e-014    0.000
12.270   0.512    -2.152e-014  5.365e-016  2.153e-014    0.000
11.796   0.533    -1.193e-014  2.359e-016  1.193e-014    0.000
11.357   0.553    -3.554e-015 -3.012e-017  3.554e-015    0.000
10.949   0.574     2.930e-015 -2.412e-016  2.940e-015    0.000
10.569   0.594     7.043e-015 -3.878e-016  7.054e-015    0.000
10.215   0.615     8.549e-015 -4.699e-016  8.562e-015    0.000
9.884    0.636     8.129e-015 -5.055e-016  8.145e-015    0.000
9.574    0.656     6.743e-015 -5.148e-016  6.763e-015    0.000
9.283    0.677     5.148e-015 -5.125e-016  5.174e-015    0.000
9.008    0.697     3.931e-015 -5.083e-016  3.963e-015    0.000
8.750    0.718     3.424e-015 -5.057e-016  3.461e-015    0.000
8.506    0.739     3.224e-015 -4.907e-016  3.261e-015    0.000
8.275    0.759     2.784e-015 -4.459e-016  2.819e-015    0.000
8.056    0.780     1.668e-015 -3.568e-016  1.706e-015    0.000
7.849    0.801    -4.623e-016 -2.113e-016  5.083e-016    0.000
7.652    0.821    -3.644e-015 -7.271e-018  3.644e-015    0.000
7.465    0.842    -7.077e-015  2.258e-016  7.081e-015    0.000
7.286    0.862    -9.927e-015  4.549e-016  9.938e-015    0.000
7.116    0.883    -1.151e-014  6.501e-016  1.153e-014    0.000
6.954    0.904    -1.127e-014  7.843e-016  1.130e-014    0.000
6.799    0.924    -9.164e-015  8.416e-016  9.203e-015    0.000
6.651    0.945    -6.107e-015  8.285e-016  6.163e-015    0.000
6.509    0.965    -3.007e-015  7.557e-016  3.100e-015    0.000
6.373    0.986    -6.290e-016  6.347e-016  8.936e-016    0.000
6.242    1.007     3.899e-016  4.774e-016  6.164e-016    0.000
6.117    1.027    -1.279e-017  3.014e-016  3.016e-016    0.000
5.997    1.048    -1.149e-015  1.295e-016  1.156e-015    0.000
5.881    1.068    -2.365e-015 -1.892e-017  2.365e-015    0.000
5.770    1.089    -3.100e-015 -1.284e-016  3.103e-015    0.000
